name	LWR	fract	aLWR	afract	taxopath
b2de1e365935ab448211ad32e0637a6e87333cb4;size=123	0.9708	0.9708	0.971	0.971	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
f72f9ecd9e2dc42ea6d30619451dd88e9e54d178;size=156	0.6722	0.6915	0.7141	0.7347	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
53d9da53915f3d1cb401eb6ee4206baed615fee1;size=23	0.4877	0.4886	0.4877	0.4886	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae;Dinovorax pyriformis
00baf987afa67dd2cbf1617c3a5bd6c15b91683c;size=211	0.8684	0.8703	0.9446	0.9467	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
ab06bd3c13fa01058fee706abec51d5a1715ca5a;size=78	0.8895	0.8986	0.9738	0.9838	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
9457f6083911381cbb4d41d5a6ff2e0105c0aab4;size=167	0.9668	0.9671	0.9803	0.9806	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
b9377dec7f19f0f38fcf9432307467ff8640563e;size=39	0.5699	0.5754	0.5699	0.5754	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
e9c3201ca357c83c10b72744fa086da977b47ad9;size=147	0.4801	0.4854	0.4909	0.4963	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
06bf20362abae219d949ff93866606a99cb43433;size=69	0.9312	0.9317	0.9488	0.9493	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
1857d25d3ac788902b27534c72a5111b66e00345;size=18	0.8948	0.9106	0.9401	0.9566	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae
9cb32275405ab7067ca0f7d3acc4c7f3e93b2d22;size=109	0.5502	0.553	0.5502	0.553	Eukaryota;SAR;Alveolata;Perkinsea;Parviluciferaceae;Dinovorax pyriformis
