project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
Tara_Oceans	BZP_AAEGOSTA_2_1_HYFJJBCXY.12BA261	1969	535235	78.3555	91.6084	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AAEKOSTA_2_1_HYFJJBCXY.12BA214	1810	751052	71.5955	160.9383	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AAEOOSTA_2_1_HYFJJBCXY.12BA262	2052	637000	71.8895	-154.9101	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AAEXOSTA_2_1_HYFJJBCXY.12BA275	3170	568710	64.7	-52.996	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AAGMOSTA_1_1_HYGGYBCXY.12BA334	729	352345	74.8039	76.0932	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AAGSOSTA_1_1_HYGGYBCXY.12BA311	1417	377982	73.3727	-168.6575	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AAGZOSTA_1_1_HYGGYBCXY.12BA300	1019	463543	64.7656	-53.1291	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZQ_AAAEOSTA_2_1_HYGGYBCXY.12BA241	5228	326472	-35.1889	26.2905	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZQ_AAALOSTA_2_1_HYGGYBCXY.12BA230	3834	344551	-20.4075	-3.1641	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZQ_AAAOOSTA_2_1_HYGGYBCXY.12BA266	4817	362859	-20.9315	-35.1794	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZQ_AAAROSTA_2_1_HYGGYBCXY.12BA207	4887	293286	-30.1471	-43.2915	Marine	Mesopelagic zone	marine_mesopelagic
